date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:27	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2265152f44-24d3%22	https://promocionsocial.org/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:27	35173/35173	---MCZ	200	added ('OK')	text/css	etag:W/%2265153b49-8965%22	https://promocionsocial.org/wp-content/cache/min/1/wp-content/et-cache/63233/et-divi-dynamic-tb-76970-tb-78463-63233.css?ver=1695890249	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/cache/min/1/wp-content/et-cache/63233/et-divi-dynamic-tb-76970-tb-78463-63233acb9.css	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:28	125170/125170	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Oct%202023%2014:03:27%20GMT	https://promocionsocial.org/en/sustainable-palestine/Firefox/	C:/My%20Web%20Sites/her/promocionsocial.org/en/sustainable-palestine/Firefox/index.html	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:28	5334/5334	---MCZ	200	added ('OK')	text/css	etag:W/%2265152f32-14d6%22	https://promocionsocial.org/wp-content/plugins/cookie-notice/css/front.min.css?ver=6.3.1	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/plugins/cookie-notice/css/front.min9b30.css	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:28	1773/1773	---M--	200	added ('OK')	image/png	etag:%2265153159-6ed%22	https://promocionsocial.org/wp-content/uploads/2017/07/cropped-Favicon_2-32x32.png	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/uploads/2017/07/cropped-Favicon_2-32x32.png	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:28	20696/20696	---M--	200	added ('OK')	image/png	etag:%2265153159-50d8%22	https://promocionsocial.org/wp-content/uploads/2017/07/cropped-Favicon_2-192x192.png	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/uploads/2017/07/cropped-Favicon_2-192x192.png	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:28	18861/18861	---M--	200	added ('OK')	image/png	etag:%2265153158-49ad%22	https://promocionsocial.org/wp-content/uploads/2017/07/cropped-Favicon_2-180x180.png	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/uploads/2017/07/cropped-Favicon_2-180x180.png	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:28	5726/5726	---MCZ	200	added ('OK')	text/css	etag:W/%22651ea81d-165e%22	https://promocionsocial.org/wp-content/et-cache/global/et-divi-customizer-global.min.css?ver=1696507933	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/et-cache/global/et-divi-customizer-global.min9e2d.css	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:29	87482/87482	---MCZ	200	added ('OK')	application/javascript	etag:W/%22650b0403-155ba%22	https://promocionsocial.org/wp-includes/js/jquery/jquery.min.js?ver=3.7.0	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/jquery/jquery.min3088.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:29	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%22650b0403-3509%22	https://promocionsocial.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:29	635/635	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2029%20Sep%202023%2009:22:27%20GMT	https://promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/ninja-forms-uploads/assets/js/nfpluginsettings.js?ver=1695979347	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/ninja-forms-uploads/assets/js/nfpluginsettings0b05.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:29	21438/21438	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264789e59-53be%22	https://promocionsocial.org/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/jquery/ui/core.min3f14.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:30	36729/36729	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264789e59-8f79%22	https://promocionsocial.org/wp-includes/js/jquery/ui/datepicker.min.js?ver=1.13.2	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/jquery/ui/datepicker.min3f14.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:30	3402/3402	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263762c0e-d4a%22	https://promocionsocial.org/wp-includes/js/jquery/ui/mouse.min.js?ver=1.13.2	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/jquery/ui/mouse.min3f14.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:30	10728/10728	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264789e59-29e8%22	https://promocionsocial.org/wp-includes/js/jquery/ui/slider.min.js?ver=1.13.2	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/jquery/ui/slider.min3f14.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:30	9009/9009	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263762c0e-2331%22	https://promocionsocial.org/wp-includes/js/clipboard.min.js?ver=2.0.11	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/clipboard.min3c89.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:30	87394/87394	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264789e59-15562%22	https://promocionsocial.org/wp-includes/js/plupload/moxie.min.js?ver=1.3.5	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/plupload/moxie.mine34c.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:31	15605/15605	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264789e59-3cf5%22	https://promocionsocial.org/wp-includes/js/plupload/plupload.min.js?ver=2.1.9	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/plupload/plupload.min6c17.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:31	18833/18833	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263762c0e-4991%22	https://promocionsocial.org/wp-includes/js/underscore.min.js?ver=1.13.4	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/underscore.mind584.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:31	8171/8171	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264789e59-1feb%22	https://promocionsocial.org/wp-includes/js/dist/vendor/wp-polyfill-inert.min.js?ver=3.1.2	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/dist/vendor/wp-polyfill-inert.min0226.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:31	6607/6607	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264789e59-19cf%22	https://promocionsocial.org/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.11	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/dist/vendor/regenerator-runtime.min8fa4.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:31	16146/16146	---MCZ	200	added ('OK')	application/javascript	etag:W/%22650b0403-3f12%22	https://promocionsocial.org/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:32	498/498	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2030%20May%202022%2015:29:00%20GMT	https://promocionsocial.org/wp-includes/js/dist/dom-ready.min.js?ver=392bdd43726760d1f3ca	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/dist/dom-ready.minded6.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:32	4627/4627	---MCZ	200	added ('OK')	application/javascript	etag:W/%22650b0403-1213%22	https://promocionsocial.org/wp-includes/js/dist/hooks.min.js?ver=c6aec9a8d4e5a5d543a1	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/dist/hooks.min2ebd.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:32	9445/9445	---MCZ	200	added ('OK')	application/javascript	etag:W/%22650b0403-24e5%22	https://promocionsocial.org/wp-includes/js/dist/i18n.min.js?ver=7701b0c3857f914212ef	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/dist/i18n.minf92f.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:32	2448/2448	---MCZ	200	added ('OK')	application/javascript	etag:W/%22650b0403-990%22	https://promocionsocial.org/wp-includes/js/dist/a11y.min.js?ver=7032343a947cfccf5608	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/dist/a11y.min866e.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:33	11825/11825	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263762c0e-2e31%22	https://promocionsocial.org/wp-includes/js/plupload/handlers.min.js?ver=6.3.1	C:/My%20Web%20Sites/her/promocionsocial.org/wp-includes/js/plupload/handlers.min9b30.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:33	60796/60796	---MCZ	200	added ('OK')	application/javascript	etag:W/%22651531c8-ed7c%22	https://promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/give-form-field-manager/assets/dist/js/give-ffm-frontend.js?ver=1695887816	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/give-form-field-manager/assets/dist/js/give-ffm-frontendc469.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:34	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2008%20Oct%202023%2014:03:33%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/her/www.googletagmanager.com/gtm.235445.delayed	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:34	161869/161869	---MCZ	200	added ('OK')	application/javascript	etag:W/%22651531c8-2784d%22	https://promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/give/assets/dist/js/give.js?ver=1695887816	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/give/assets/dist/js/givec469.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:34	149306/149306	---M--	200	added ('OK')	image/jpeg	etag:%2265152fd2-2473a%22	https://promocionsocial.org/wp-content/uploads/2023/06/Palestina-agronegocio_1.jpg	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/uploads/2023/06/Palestina-agronegocio_1.jpg	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:34	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22651eb1ec-4d7%22	https://promocionsocial.org/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/her/promocionsocial.org/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:35	379/379	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2005%20Oct%202023%2009:11:48%20GMT	https://tracker.metricool.com/app/resources/be.js	C:/My%20Web%20Sites/her/tracker.metricool.com/app/resources/be.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:35	5161/5161	---MCZ	200	added ('OK')	application/javascript	etag:W/%22651531c8-1429%22	https://promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/give/assets/dist/js/give-donation-summary.js?ver=1695887816	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/give/assets/dist/js/give-donation-summaryc469.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:36	1290/1290	---MCZ	200	added ('OK')	application/javascript	etag:W/%22651531c8-50a%22	https://promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-form-move-tracker.js?ver=1695887816	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-form-move-trackerc469.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:36	274307/274307	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265152f44-42f83%22	https://promocionsocial.org/wp-content/themes/Divi/js/scripts.min.js?ver=4.22.2	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/themes/Divi/js/scripts.min82c5.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:36	8700/8700	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265152f32-21fc%22	https://promocionsocial.org/wp-content/plugins/cookie-notice/js/front.min.js?ver=2.4.10	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/plugins/cookie-notice/js/front.min367a.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:36	890/890	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Sep%202023%2007:56:56%20GMT	https://promocionsocial.org/wp-content/cache/min/1/wp-content/themes/Divi/core/admin/js/common.js?ver=1695887816	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/cache/min/1/wp-content/themes/Divi/core/admin/js/commonc469.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:37	216882/216882	---MCZ	200	added ('OK')	application/javascript	etag:W/%22651531c8-34f32%22	https://promocionsocial.org/wp-content/cache/min/1/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/sticky-elements.js?ver=1695887816	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/cache/min/1/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/sticky-elementsc469.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:38	8892/8892	---MCZ	200	added ('OK')	application/javascript	etag:W/%22651696e9-22bc%22	https://promocionsocial.org/wp-content/plugins/wp-rocket/assets/js/lazyload/17.8.3/lazyload.min.js	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/plugins/wp-rocket/assets/js/lazyload/17.8.3/lazyload.min.js	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
